"number","created_by","created_at","state","closed_by","closed_at"
"2024","saatomic","2016-10-13 10:57:18","closed","justinmayer","2016-10-16 20:20:08"
"2023","iKevinY","2016-10-13 06:35:43","closed","justinmayer","2016-10-29 18:54:18"
"2022","rjames86","2016-10-09 03:30:09","closed","justinmayer","2016-12-12 18:18:04"
"2021","digitalrounin","2016-10-08 11:29:06","open","",""
"2020","digitalrounin","2016-10-06 06:23:45","closed","digitalrounin","2016-10-08 11:32:50"
"2019","ishu3101","2016-10-04 22:13:54","closed","justinmayer","2016-10-04 22:56:24"
"2018","keisetsu","2016-10-03 18:00:27","closed","justinmayer","2016-10-16 20:22:14"
"2017","JulienPalard","2016-09-30 13:33:52","open","",""
"2016","jerryasher","2016-09-28 23:57:20","closed","justinmayer","2016-10-07 18:28:10"
"2015","jpli","2016-09-25 14:09:34","closed","justinmayer","2016-10-06 17:30:27"
"2014","azrdev","2016-09-24 17:14:39","closed","azrdev","2016-09-27 15:53:27"
"2013","marco-m","2016-09-19 09:06:46","closed","marco-m","2016-09-19 14:06:48"
"2012","jpli","2016-09-18 07:02:22","closed","jpli","2016-09-19 09:27:31"
"2011","jpli","2016-09-18 06:30:02","closed","jpli","2016-09-25 14:11:31"
"2010","gbraad","2016-09-18 05:13:47","closed","gbraad","2016-09-18 15:15:45"
"2009","iKevinY","2016-09-17 23:21:56","closed","justinmayer","2016-10-13 19:51:24"
"2008","ehashman","2016-09-17 14:50:57","open","",""
"2007","avaris","2016-09-16 19:49:48","closed","justinmayer","2016-09-17 02:25:47"
"2006","avaris","2016-09-16 15:00:54","closed","avaris","2016-09-16 19:06:01"
"2005","avaris","2016-09-16 14:58:57","closed","justinmayer","2016-09-17 15:25:07"
"2004","Scheirle","2016-09-16 07:51:22","closed","justinmayer","2016-09-27 15:40:36"
"2003","jerryasher","2016-09-14 06:45:28","closed","jerryasher","2016-09-20 08:23:36"
"2002","jerryasher","2016-09-14 06:37:42","closed","jerryasher","2016-09-14 06:40:07"
"2001","Totktonada","2016-08-30 23:39:19","closed","Totktonada","2016-09-12 00:25:28"
"2000","hmleal","2016-08-29 19:25:31","open","",""
"1999","rjames86","2016-08-29 18:51:19","closed","justinmayer","2016-12-03 20:41:50"
"1998","Cartroo","2016-08-25 07:56:35","closed","justinmayer","2016-08-25 15:21:18"
"1997","rossburton","2016-08-19 20:17:10","closed","justinmayer","2016-09-11 14:34:28"
"1996","bnice5000","2016-08-19 16:45:37","open","",""
"1995","Jibec","2016-08-17 05:58:14","closed","Jibec","2016-08-18 06:43:15"
"1994","Casyfill","2016-08-17 04:08:49","closed","justinmayer","2016-09-11 14:39:13"
"1993","stevepiercy","2016-08-14 18:52:36","closed","justinmayer","2016-08-17 00:03:08"
"1992","kernc","2016-08-14 17:38:51","closed","kernc","2016-08-16 01:11:50"
"1991","wjt","2016-08-11 06:57:26","closed","justinmayer","2016-09-17 02:22:43"
"1990","klahnakoski","2016-08-08 17:58:48","closed","justinmayer","2016-08-11 13:33:44"
"1989","eevee","2016-08-08 01:22:15","closed","justinmayer","2016-10-22 22:43:02"
"1988","CelticParser","2016-08-05 16:24:44","closed","CelticParser","2016-08-05 18:29:47"
"1987","leotrs","2016-08-04 14:13:08","closed","leotrs","2016-08-09 18:21:45"
"1986","leotrs","2016-08-04 12:09:41","closed","leotrs","2016-08-05 18:15:39"
"1985","ror6ax","2016-08-03 13:23:00","closed","justinmayer","2016-08-11 23:17:30"
"1984","leotrs","2016-08-01 23:03:12","open","",""
"1983","leotrs","2016-07-28 02:06:09","closed","leotrs","2016-07-28 18:32:58"
"1982","adeverteuil","2016-07-25 22:20:36","open","",""
"1981","lucianoviola","2016-07-11 16:09:21","closed","lucianoviola","2016-07-13 08:42:48"
"1980","mlabbe","2016-07-10 21:49:45","closed","mlabbe","2016-08-18 19:51:16"
"1979","emtiu","2016-07-06 09:13:32","closed","justinmayer","2016-08-11 23:21:49"
"1978","bnice5000","2016-06-26 17:12:16","closed","justinmayer","2016-10-22 21:45:29"
"1977","jie","2016-06-24 02:41:40","closed","jie","2016-08-14 02:35:09"
"1976","SnorlaxYum","2016-06-22 05:04:54","closed","SnorlaxYum","2016-08-04 14:19:34"
"1975","logston","2016-06-09 05:16:55","open","",""
"1974","gerbill","2016-06-04 20:45:12","closed","justinmayer","2016-09-11 14:40:01"
"1973","TierraDelFuego","2016-06-04 18:14:58","closed","TierraDelFuego","2016-06-04 20:25:50"
"1972","nstinus","2016-06-04 13:03:00","closed","justinmayer","2016-10-29 16:45:57"
"1971","nstinus","2016-06-04 12:52:11","closed","justinmayer","2016-10-29 16:45:57"
"1970","iranzo","2016-06-03 22:13:47","closed","iranzo","2016-06-04 11:43:51"
"1969","robren","2016-06-01 14:52:30","open","",""
"1968","The-Compiler","2016-05-31 13:26:54","closed","justinmayer","2016-08-11 23:18:50"
"1967","NathanHarrington","2016-05-30 13:13:04","closed","justinmayer","2016-09-11 15:14:46"
"1966","NathanHarrington","2016-05-30 13:02:28","closed","justinmayer","2016-09-17 15:25:07"
"1965","rr-","2016-05-28 19:27:04","open","",""
"1964","rr-","2016-05-28 17:32:43","closed","justinmayer","2016-07-18 15:14:30"
"1963","JulienPalard","2016-05-28 11:58:19","open","",""
"1962","h3","2016-05-26 15:32:04","closed","justinmayer","2016-09-11 15:16:42"
"1961","atodorov","2016-05-26 14:35:03","closed","justinmayer","2016-09-27 16:05:46"
"1960","TierraDelFuego","2016-05-24 16:44:20","closed","justinmayer","2016-08-01 16:04:05"
"1959","atodorov","2016-05-24 14:23:22","closed","justinmayer","2016-05-24 15:21:32"
"1958","atodorov","2016-05-24 13:47:01","closed","justinmayer","2016-09-16 14:15:06"
"1957","TierraDelFuego","2016-05-23 17:48:33","closed","TierraDelFuego","2016-06-04 16:56:31"
"1956","jonathan-s","2016-05-22 22:27:14","open","",""
"1955","bnice5000","2016-05-20 13:32:29","closed","justinmayer","2016-10-22 21:45:29"
"1954","TierraDelFuego","2016-05-18 23:19:18","closed","justinmayer","2016-08-11 23:26:15"
"1953","catdog2","2016-05-09 14:47:20","open","",""
"1952","catdog2","2016-05-09 14:21:43","open","",""
