"number","created_by","created_at","state","commits","merged_by","merged_at"
"1862","mrocklin","2016-12-22 20:07:16","closed","1","mrocklin","2016-12-22 21:32:19"
"1860","mrocklin","2016-12-22 15:18:41","closed","3","mrocklin","2017-01-02 02:28:42"
"1859","mrocklin","2016-12-22 03:50:07","closed","1","mrocklin","2016-12-22 18:54:05"
"1858","mrocklin","2016-12-22 03:50:04","closed","1","mrocklin","2016-12-22 18:53:56"
"1857","jcrist","2016-12-22 00:19:10","closed","1","jcrist","2016-12-22 02:54:37"
"1855","martindurant","2016-12-19 21:35:52","closed","5","mrocklin","2016-12-22 18:53:49"
"1853","abast","2016-12-19 01:31:43","open","5","",""
"1852","abast","2016-12-19 01:04:51","closed","6","",""
"1847","rainwoodman","2016-12-14 08:10:47","open","1","",""
"1846","strets123","2016-12-13 17:59:28","open","4","",""
"1843","martindurant","2016-12-13 15:43:52","closed","13","mrocklin","2016-12-16 15:15:25"
"1842","mrocklin","2016-12-13 15:14:47","closed","1","mrocklin","2016-12-16 16:23:52"
"1840","mrocklin","2016-12-11 13:21:41","closed","13","mrocklin","2016-12-28 15:45:33"
"1838","mrocklin","2016-12-09 04:10:16","closed","8","mrocklin","2016-12-11 01:19:03"
"1833","pitrou","2016-12-04 15:53:29","closed","4","pitrou","2016-12-05 22:46:51"
"1831","jcrist","2016-12-02 02:15:29","closed","1","jcrist","2016-12-07 16:40:53"
"1830","jcrist","2016-12-02 00:46:44","closed","1","jcrist","2016-12-02 01:18:53"
"1829","jcrist","2016-12-01 23:36:59","closed","1","jcrist","2016-12-07 16:41:39"
"1828","jcrist","2016-12-01 20:35:39","closed","2","jcrist","2016-12-01 21:26:09"
"1827","pitrou","2016-12-01 13:55:01","closed","18","mrocklin","2016-12-10 20:41:37"
"1826","jcrist","2016-12-01 00:09:54","closed","2","jcrist","2016-12-01 21:45:20"
"1825","mrocklin","2016-11-30 22:01:22","closed","1","mrocklin","2016-12-01 13:19:31"
"1824","mikegraham","2016-11-30 21:28:47","closed","2","mrocklin","2016-12-01 21:12:52"
"1823","mrocklin","2016-11-30 18:11:49","closed","1","mrocklin","2016-11-30 18:50:09"
"1819","jcrist","2016-11-28 23:14:58","closed","2","TomAugspurger","2016-11-30 21:03:44"
"1818","jcrist","2016-11-28 18:10:01","closed","2","",""
"1817","stuartarchibald","2016-11-28 16:41:36","closed","1","jcrist","2016-11-28 18:11:51"
"1813","rolando","2016-11-26 20:23:58","closed","3","mrocklin","2016-11-26 21:42:05"
"1810","mrocklin","2016-11-24 14:54:12","closed","3","mrocklin","2016-12-01 22:08:56"
"1808","mrocklin","2016-11-23 19:59:29","closed","15","mrocklin","2016-11-30 17:13:57"
"1807","mrocklin","2016-11-23 15:29:19","closed","14","",""
"1806","palcu","2016-11-22 22:22:28","open","1","",""
"1803","chrisburr","2016-11-21 22:08:42","open","2","",""
