"number","created_by","created_at","state","closed_by","closed_at"
"1917","kain88-de","2017-01-16 13:57:09","open","",""
"1916","crusaderky","2017-01-16 11:23:49","open","",""
"1915","mrocklin","2017-01-14 15:41:10","open","",""
"1914","sinhrks","2017-01-14 06:19:35","closed","mrocklin","2017-02-14 17:10:53"
"1913","sinhrks","2017-01-14 06:15:58","closed","mrocklin","2017-01-19 13:39:51"
"1912","kalefranz","2017-01-13 21:38:21","closed","kalefranz","2017-01-13 23:07:41"
"1911","mrocklin","2017-01-13 14:48:42","closed","jcrist","2017-01-23 18:55:03"
"1910","frol","2017-01-13 11:45:08","closed","mrocklin","2017-01-15 15:04:12"
"1909","wabu","2017-01-13 09:53:09","closed","mrocklin","2017-01-21 01:52:44"
"1908","mrocklin","2017-01-12 20:29:29","closed","mrocklin","2017-01-25 19:28:35"
"1907","jcrist","2017-01-12 16:38:46","closed","jcrist","2017-01-12 17:04:30"
"1906","dtpc","2017-01-12 07:02:49","open","",""
"1905","patcpsc","2017-01-12 01:42:55","closed","jcrist","2017-01-12 17:04:30"
"1904","jcrist","2017-01-11 00:12:14","closed","jcrist","2017-01-11 01:15:01"
"1903","magonser","2017-01-10 20:26:16","closed","jcrist","2017-01-11 01:15:01"
"1902","mrocklin","2017-01-10 17:37:02","closed","mrocklin","2017-01-11 01:01:01"
"1901","nirizr","2017-01-09 21:54:37","open","",""
"1900","jcrist","2017-01-09 21:45:49","closed","jcrist","2017-01-09 22:36:34"
"1899","jcrist","2017-01-09 21:01:26","closed","jcrist","2017-01-10 19:20:20"
"1898","arita37","2017-01-09 15:28:01","open","",""
"1897","abast","2017-01-09 12:45:05","closed","jcrist","2017-01-09 22:36:34"
"1896","bkj","2017-01-09 04:32:41","open","",""
"1895","nirizr","2017-01-08 10:10:59","open","",""
"1894","jcrist","2017-01-07 00:49:28","closed","jcrist","2017-01-09 20:40:04"
"1893","electronwill","2017-01-06 22:55:51","closed","mrocklin","2017-01-07 02:33:49"
"1892","shoyer","2017-01-06 21:22:59","open","",""
"1891","nirizr","2017-01-06 20:19:36","open","",""
"1890","jwittenbach","2017-01-06 15:43:43","open","",""
"1889","elritsch","2017-01-05 21:57:05","closed","mrocklin","2017-01-06 00:41:25"
