"number","created_by","created_at","state","commits","merged_by","merged_at"
"1770","aheinz-fe","2016-07-19 14:32:29","closed","1","",""
"1756","horejsek","2016-06-27 08:34:55","open","2","",""
"1752","eyj","2016-06-15 07:39:35","open","1","",""
"1750","bdarnell","2016-06-12 20:29:08","closed","1","bdarnell","2016-06-12 22:40:11"
"1748","thinkerou","2016-06-11 04:06:06","closed","1","",""
"1747","zhulongcheng","2016-06-10 17:37:58","closed","1","",""
"1746","santiwst","2016-06-08 16:55:20","closed","1","",""
"1744","zhulongcheng","2016-06-08 14:48:32","closed","1","bdarnell","2016-06-12 19:26:27"
"1743","nickcoutsos","2016-06-08 01:49:07","closed","3","bdarnell","2016-07-01 16:06:39"
"1742","santiwst","2016-06-07 17:08:36","closed","2","",""
"1741","hedcler","2016-06-06 04:50:26","closed","0","",""
"1739","cachedout","2016-06-03 17:42:12","closed","1","",""
"1735","gnprice","2016-05-30 22:44:55","open","12","",""
"1733","gnprice","2016-05-30 01:27:40","closed","11","",""
"1732","gnprice","2016-05-30 00:51:44","closed","6","",""
"1731","adamchainz","2016-05-29 14:04:43","closed","1","bdarnell","2016-06-04 22:12:26"
"1729","dvolodin7","2016-05-25 22:18:20","closed","1","bdarnell","2016-05-28 17:01:37"
"1728","mivade","2016-05-25 17:58:15","closed","2","bdarnell","2016-06-04 22:13:31"
"1727","xiyanxiyan10","2016-05-25 09:29:52","closed","1","bdarnell","2016-05-28 17:29:56"
"1725","LocutusOfBorg","2016-05-24 10:30:01","closed","1","bdarnell","2016-05-28 16:43:01"
"1722","bdarnell","2016-05-22 01:33:40","closed","2","bdarnell","2016-05-22 01:55:21"
"1720","daftshady","2016-05-15 14:10:25","closed","3","bdarnell","2016-05-28 16:08:27"
"1716","seirl","2016-05-09 11:09:14","open","1","",""
"1714","Maillol","2016-05-05 11:36:10","open","3","",""
"1713","likang","2016-05-05 08:40:30","closed","1","",""
"1712","yegorich","2016-05-04 07:36:43","closed","1","bdarnell","2016-05-21 23:44:54"
"1711","zjjott","2016-05-04 03:00:49","closed","3","",""
"1710","zjjott","2016-05-04 02:23:30","closed","1","",""
"1709","admirestator","2016-05-03 08:27:58","closed","1","",""
"1706","berislavlopac","2016-05-01 23:43:17","closed","0","",""
"1705","Maillol","2016-04-30 20:44:57","closed","1","",""
"1704","thinkerou","2016-04-30 00:30:50","closed","1","bdarnell","2016-04-30 15:50:24"
"1699","bdarnell","2016-04-23 23:40:24","closed","1","bdarnell","2016-04-24 00:11:54"
"1698","obsh","2016-04-21 16:30:27","open","4","",""
"1694","zakkie","2016-04-19 05:47:03","closed","1","bdarnell","2016-04-20 02:37:15"
"1691","mrocklin","2016-04-14 19:43:53","closed","2","",""
"1689","harboecp","2016-04-13 10:19:51","closed","1","bdarnell","2016-04-24 18:39:10"
"1683","nickbaum","2016-04-05 22:05:27","closed","1","",""
"1682","quicoder","2016-04-05 09:45:13","closed","1","",""
"1678","JZQT","2016-03-31 15:38:19","closed","1","bdarnell","2016-03-31 20:57:26"
"1677","CaselIT","2016-03-31 12:00:19","closed","1","bdarnell","2016-03-31 12:27:40"
"1674","splinterific","2016-03-25 14:08:21","closed","1","bdarnell","2016-03-25 16:13:36"
"1664","bretsko","2016-03-13 17:00:47","closed","0","ajdavis","2016-03-13 17:11:05"
"1662","malcm","2016-03-11 13:31:01","closed","2","bdarnell","2016-03-13 03:38:52"
"1661","malcm","2016-03-11 13:12:06","closed","1","",""
"1658","Kotakon","2016-03-05 17:04:32","open","1","",""
"1657","tao12345666333","2016-03-03 14:59:44","closed","1","ajdavis","2016-03-04 02:14:51"
"1653","emehrkay","2016-02-26 15:49:31","closed","1","bdarnell","2017-02-21 03:01:22"
"1649","xrmx","2016-02-22 16:47:30","closed","1","bdarnell","2017-02-21 02:44:22"
"1648","zhicheng","2016-02-22 08:03:33","closed","1","bdarnell","2016-04-09 20:50:48"
"1647","jonathansp","2016-02-19 19:01:17","closed","1","bdarnell","2016-02-22 03:13:15"
"1642","takluyver","2016-02-15 14:41:39","open","1","",""
"1641","bdarnell","2016-02-14 20:17:58","open","1","",""
"1639","mosquito","2016-02-11 20:45:29","closed","1","",""
"1637","jvhellemond","2016-02-06 14:15:30","closed","0","",""
"1636","waylan","2016-02-06 03:06:20","closed","1","",""
"1634","mr-ping","2016-02-03 02:45:55","closed","0","",""
"1629","shichao-an","2016-01-21 01:26:39","closed","1","",""
"1628","marrrvin","2016-01-16 18:27:45","open","1","",""
"1626","hipro","2016-01-14 05:47:06","closed","1","",""
"1622","mqingyn","2016-01-06 15:48:53","open","2","",""
"1621","bheesham","2015-12-29 22:17:09","closed","1","bdarnell","2015-12-31 22:56:58"
"1620","jiajunhuang","2015-12-28 13:10:11","closed","0","",""
"1619","afg984","2015-12-28 06:11:30","closed","2","bdarnell","2016-02-14 02:43:14"
"1618","sema","2015-12-27 14:21:02","open","2","",""
"1617","DayneSorvisto","2015-12-27 09:10:53","closed","0","",""
"1615","ColorFuzzy","2015-12-21 04:12:44","closed","3","bdarnell","2015-12-31 22:34:57"
"1614","ColorFuzzy","2015-12-19 22:49:58","closed","1","",""
"1613","ColorFuzzy","2015-12-19 22:25:12","closed","1","",""
"1612","ColorFuzzy","2015-12-19 20:22:38","closed","1","",""
"1611","ColorFuzzy","2015-12-19 19:47:04","closed","1","",""
"1604","liaoxiaorong","2015-12-14 11:24:31","closed","0","bdarnell","2015-12-31 18:56:03"
"1603","jonathanstrong","2015-12-10 00:18:46","open","3","",""
"1600","dinever","2015-12-08 05:42:16","closed","1","ajdavis","2015-12-08 22:34:09"
"1599","emehrkay","2015-12-07 21:36:09","closed","3","bdarnell","2015-12-18 05:04:03"
"1596","knightliao","2015-12-02 09:46:36","closed","1","",""
"1593","Hardtack","2015-11-24 05:13:00","closed","1","bdarnell","2015-11-24 10:15:47"
"1591","marrrvin","2015-11-22 11:35:30","closed","1","bdarnell","2015-11-23 10:53:44"
"1588","AaronOpfer","2015-11-21 19:53:50","open","0","",""
"1587","hschachn","2015-11-20 13:03:01","closed","1","bdarnell","2015-11-21 16:33:02"
"1586","mivade","2015-11-20 11:33:10","closed","1","ajdavis","2015-11-20 14:04:29"
"1584","chrisseto","2015-11-13 21:11:18","open","1","",""
"1582","minrk","2015-11-11 12:23:30","closed","2","bdarnell","2015-11-12 01:14:02"
"1579","felixonmars","2015-11-07 06:01:01","closed","1","bdarnell","2015-11-07 22:23:40"
"1578","bdarnell","2015-11-07 01:04:28","closed","1","bdarnell","2015-11-07 02:09:22"
"1576","ewang","2015-11-02 23:03:13","closed","2","bdarnell","2015-11-07 00:55:18"
"1575","dapangmao","2015-11-02 17:22:20","closed","0","",""
"1574","macro","2015-10-29 23:37:31","closed","1","bdarnell","2015-11-07 00:54:48"
"1569","rudyryk","2015-10-27 10:11:38","open","3","",""
"1568","chrisseto","2015-10-26 05:24:17","closed","1","bdarnell","2015-11-07 00:55:34"
"1567","bdarnell","2015-10-24 13:59:26","closed","1","bdarnell","2015-10-24 14:22:51"
"1564","fernandoflorez","2015-10-24 04:11:09","closed","0","",""
"1563","szweep","2015-10-23 14:33:41","closed","2","bdarnell","2015-10-24 14:32:27"
"1560","pathcl","2015-10-20 15:30:10","closed","1","bdarnell","2015-10-20 15:58:08"
"1558","maartenbreddels","2015-10-19 15:25:24","closed","1","bdarnell","2015-10-24 16:00:18"
"1557","bdarnell","2015-10-18 20:36:52","closed","2","bdarnell","2015-10-18 21:50:41"
"1555","fernandoflorez","2015-10-17 14:27:23","closed","0","",""
"1554","almarklein","2015-10-16 20:57:13","closed","1","",""
"1553","xbao","2015-10-16 11:52:47","closed","1","bdarnell","2015-10-18 13:44:28"
"1550","ajdavis","2015-10-12 17:48:32","closed","1","bdarnell","2015-10-13 21:34:58"
"1544","gitter-badger","2015-10-07 03:03:59","closed","1","bdarnell","2016-07-13 02:52:05"
"1542","bdarnell","2015-10-04 02:47:38","closed","9","bdarnell","2015-10-04 03:13:54"
"1541","bdarnell","2015-10-03 17:07:11","closed","2","bdarnell","2015-10-03 17:59:15"
"1540","bdarnell","2015-10-03 15:22:46","closed","1","bdarnell","2015-10-03 15:51:42"
"1538","awsh","2015-10-01 19:53:04","closed","2","bdarnell","2015-10-01 20:53:55"
"1537","awsh","2015-10-01 18:58:14","closed","1","",""
"1536","sieben","2015-10-01 07:49:17","closed","0","bdarnell","2015-10-01 14:22:37"
"1533","bdarnell","2015-09-29 02:40:11","closed","1","bdarnell","2015-09-29 03:10:49"
"1531","stj","2015-09-28 22:03:56","closed","0","bdarnell","2015-10-03 13:54:18"
"1530","mr-ping","2015-09-28 02:59:54","closed","1","bdarnell","2015-09-28 03:21:23"
"1529","mr-ping","2015-09-28 02:30:25","closed","1","",""
"1528","bdarnell","2015-09-28 01:11:39","closed","5","bdarnell","2015-09-28 01:35:04"
"1527","bdarnell","2015-09-27 23:05:49","closed","2","bdarnell","2015-09-28 00:08:12"
"1526","bdarnell","2015-09-27 17:43:48","closed","3","bdarnell","2015-09-28 03:39:34"
"1525","bdarnell","2015-09-27 15:58:36","closed","1","bdarnell","2015-09-27 16:28:00"
"1524","qulc","2015-09-26 04:26:36","closed","0","bdarnell","2015-09-27 16:29:33"
"1523","mivade","2015-09-22 21:53:00","closed","2","",""
"1517","Lancher","2015-09-13 10:08:59","open","1","",""
"1514","noxiouz","2015-09-09 11:42:05","closed","1","bdarnell","2015-09-13 00:31:18"
"1511","klaussfreire","2015-09-02 19:02:46","closed","4","bdarnell","2015-09-27 20:00:46"
"1510","fydot","2015-09-02 17:48:13","closed","3","",""
"1508","ydaniv","2015-09-02 05:52:11","closed","1","",""
"1506","Lancher","2015-08-30 11:36:01","closed","3","",""
"1502","lujinda","2015-08-27 04:55:38","closed","1","",""
"1497","codeb2cc","2015-08-24 07:24:00","closed","1","bdarnell","2015-09-28 04:11:06"
"1496","e1mus","2015-08-23 14:25:26","closed","1","",""
"1495","stevepeak","2015-08-21 18:38:46","closed","0","bdarnell","2015-08-26 13:16:31"
"1494","gwillem","2015-08-21 12:58:37","closed","3","bdarnell","2015-09-28 00:15:12"
"1488","jsarenik","2015-08-16 06:51:54","closed","1","bdarnell","2015-08-16 17:28:14"
"1487","mivade","2015-08-14 14:22:52","closed","0","",""
"1486","malthe","2015-08-14 14:15:20","closed","1","",""
"1482","ms7s","2015-08-07 13:48:50","closed","1","bdarnell","2015-08-11 03:33:31"
"1481","mehmetkose","2015-08-07 09:46:07","open","18","",""
"1479","mr-ping","2015-08-05 07:37:56","closed","4","bdarnell","2015-09-06 14:24:59"
"1478","pbeeson","2015-08-03 19:38:46","closed","1","",""
"1477","bdarnell","2015-08-03 14:06:59","closed","5","bdarnell","2015-11-07 00:52:29"
"1476","bdarnell","2015-08-03 02:07:15","closed","10","bdarnell","2015-08-03 04:19:09"
"1475","aebrahim","2015-07-31 20:38:57","closed","0","",""
"1473","eklitzke","2015-07-28 21:12:01","closed","1","",""
"1471","gitchs","2015-07-27 08:24:30","closed","1","bdarnell","2015-07-30 02:40:00"
"1468","aebrahim","2015-07-24 01:55:39","closed","0","bdarnell","2015-07-31 01:10:48"
"1465","aebrahim","2015-07-22 21:12:18","closed","0","",""
"1461","leeclemens","2015-07-05 00:00:45","closed","1","bdarnell","2015-07-05 00:20:17"
"1460","ianmackinnon","2015-07-02 11:46:36","closed","2","bdarnell","2015-07-03 22:35:26"
"1457","drewmiller","2015-06-21 17:17:19","open","5","",""
"1456","gward","2015-06-21 14:43:22","closed","3","",""
"1455","anandology","2015-06-20 23:13:18","open","3","",""
"1454","kippandrew","2015-06-19 15:11:34","closed","4","",""
"1453","malthe","2015-06-12 11:53:11","closed","1","",""
