"number","created_by","created_at","state","commits","merged_by","merged_at"
"3505","rinopo","2016-10-17 02:37:25","closed","1","",""
"3504","whi-ski","2016-10-14 15:41:52","closed","3","",""
"3503","tobias-kuendig","2016-10-14 06:42:00","closed","0","",""
"3502","markstos","2016-10-13 21:16:45","closed","2","",""
"3501","hasangilak","2016-10-13 20:26:54","closed","1","",""
"3498","RIanDeLaCruz","2016-10-13 09:50:18","closed","5","",""
"3492","rajeevnaikte","2016-10-09 18:19:10","closed","9","",""
"3490","ichernev","2016-10-09 09:55:03","closed","6","",""
"3486","mbad0la","2016-10-06 19:10:12","closed","3","",""
"3485","HassanAlgoz","2016-10-05 11:59:22","closed","0","",""
"3472","zymnytskiy","2016-09-29 09:10:00","closed","1","",""
"3466","tgfjt","2016-09-25 11:25:44","closed","1","",""
"3465","fredgate","2016-09-23 09:30:45","closed","1","",""
"3460","sideris","2016-09-22 05:24:55","closed","0","",""
"3456","dzonatan","2016-09-19 10:05:20","closed","1","",""
"3454","alexjusti","2016-09-18 04:27:27","closed","0","",""
"3448","tomalec","2016-09-16 17:02:12","closed","1","",""
"3447","jesussobrino","2016-09-16 11:21:02","closed","2","",""
"3446","pereorga","2016-09-15 18:58:54","closed","1","",""
"3445","david-driscoll","2016-09-15 16:00:01","closed","1","",""
"3443","lgabster","2016-09-15 15:19:33","closed","2","",""
"3442","david-driscoll","2016-09-15 15:01:29","closed","1","",""
"3438","ichernev","2016-09-15 07:18:31","closed","1","",""
"3436","netpoetica","2016-09-14 13:51:58","closed","1","",""
"3435","andela-batolagbe","2016-09-14 12:53:21","closed","1","",""
"3429","judikdavid","2016-09-12 12:04:25","closed","1","",""
"3427","ichernev","2016-09-12 06:55:21","closed","3","",""
"3424","andela-batolagbe","2016-09-08 19:06:37","closed","3","",""
"3420","mdmitriy","2016-09-07 13:43:25","closed","2","",""
"3418","devrelm","2016-09-06 17:42:55","closed","1","",""
"3416","kevinzwhuang","2016-09-02 08:05:19","closed","3","",""
"3408","Salasar","2016-08-31 09:47:21","closed","2","",""
"3407","amandine-perichon","2016-08-31 04:14:53","closed","1","",""
"3406","schempy","2016-08-31 03:26:24","closed","1","",""
"3404","anotheredward","2016-08-29 22:48:00","closed","1","mj1856","2016-09-14 16:55:33"
"3398","JohnMacAslan","2016-08-26 13:07:40","closed","1","",""
"3397","otelnov","2016-08-26 10:01:22","closed","1","",""
"3396","fidelpita","2016-08-26 06:44:03","closed","1","",""
"3394","skfd","2016-08-25 08:40:19","closed","3","",""
