"number","created_by","created_at","state","commits","merged_by","merged_at"
"2730","ddfisher","2017-01-21 00:05:28","closed","4","gvanrossum","2017-01-24 00:39:02"
"2724","JelleZijlstra","2017-01-20 05:52:30","closed","1","ddfisher","2017-01-20 21:41:30"
"2723","afrieder","2017-01-20 01:46:48","closed","5","ddfisher","2017-01-20 22:55:22"
"2722","ddfisher","2017-01-19 22:48:41","closed","4","gvanrossum","2017-01-23 22:35:54"
"2721","afrieder","2017-01-19 22:03:09","closed","1","gvanrossum","2017-01-20 00:18:09"
"2719","JelleZijlstra","2017-01-19 18:21:15","open","11","",""
"2718","JukkaL","2017-01-19 18:07:00","closed","1","gvanrossum","2017-01-20 18:14:50"
"2717","afrieder","2017-01-19 17:12:10","closed","1","ddfisher","2017-01-19 22:15:30"
"2715","JukkaL","2017-01-19 16:17:40","closed","1","gvanrossum","2017-01-20 18:09:55"
"2714","JukkaL","2017-01-19 16:05:17","open","1","",""
"2711","JelleZijlstra","2017-01-19 04:58:28","open","8","",""
"2710","ddfisher","2017-01-18 23:10:13","closed","9","ddfisher","2017-01-24 01:13:28"
"2708","JukkaL","2017-01-18 14:30:24","closed","1","gvanrossum","2017-01-18 17:05:15"
"2707","JukkaL","2017-01-18 13:13:48","closed","1","JukkaL","2017-01-18 13:39:36"
"2706","JelleZijlstra","2017-01-18 04:24:35","closed","4","gvanrossum","2017-01-18 22:08:28"
"2705","JelleZijlstra","2017-01-18 03:54:50","closed","3","gvanrossum","2017-01-18 15:34:06"
"2701","JelleZijlstra","2017-01-17 14:36:20","closed","3","gvanrossum","2017-01-18 04:54:43"
"2700","alexjurkiewicz","2017-01-17 01:15:31","closed","6","",""
"2699","elazarg","2017-01-17 00:12:00","closed","7","gvanrossum","2017-01-18 18:22:25"
"2693","elazarg","2017-01-15 07:01:49","closed","2","gvanrossum","2017-01-15 15:58:24"
"2692","wkhere","2017-01-14 14:21:28","closed","1","gvanrossum","2017-01-14 17:55:21"
"2691","wkhere","2017-01-14 14:19:04","closed","1","gvanrossum","2017-01-14 18:20:24"
"2689","ddfisher","2017-01-13 23:25:51","closed","2","gvanrossum","2017-01-17 21:07:54"
"2687","ddfisher","2017-01-13 20:36:00","closed","1","ddfisher","2017-01-13 22:10:45"
"2686","JukkaL","2017-01-13 17:13:31","closed","1","JukkaL","2017-01-13 17:38:15"
"2684","ambv","2017-01-12 18:46:49","closed","1","gvanrossum","2017-01-12 19:34:57"
"2682","ambv","2017-01-12 05:11:35","closed","1","JukkaL","2017-01-13 16:43:38"
"2681","afrieder","2017-01-12 03:28:49","closed","5","ddfisher","2017-01-19 20:44:47"
"2680","ddfisher","2017-01-12 00:58:28","closed","5","gvanrossum","2017-01-18 01:05:34"
"2679","elazarg","2017-01-11 19:43:31","closed","1","",""
"2677","afrieder","2017-01-11 07:28:10","closed","2","JukkaL","2017-01-18 13:41:10"
"2676","gvanrossum","2017-01-11 04:58:56","closed","2","gvanrossum","2017-01-11 16:49:32"
"2675","ddfisher","2017-01-11 00:01:14","closed","1","gvanrossum","2017-01-11 00:37:52"
"2672","ddfisher","2017-01-10 21:41:23","closed","1","gvanrossum","2017-01-10 22:42:19"
"2671","ddfisher","2017-01-10 19:53:23","closed","3","gvanrossum","2017-01-10 20:57:06"
"2670","tharvik","2017-01-10 16:03:17","closed","1","",""
"2669","gvanrossum","2017-01-10 02:15:43","closed","3","gvanrossum","2017-01-10 02:34:14"
"2668","ddfisher","2017-01-10 02:05:29","closed","2","gvanrossum","2017-01-10 19:29:26"
