"number","created_by","created_at","state","commits","merged_by","merged_at"
"2028","ben4ever","2016-09-19 02:24:59","closed","0","davidism","2016-09-19 03:24:46"
"2026","Thalmann","2016-09-18 12:00:10","closed","1","untitaker","2016-09-18 12:10:00"
"2025","drewja","2016-09-14 18:00:46","closed","1","ThiefMaster","2016-09-14 18:03:21"
"2024","pombredanne","2016-09-14 16:17:44","closed","1","davidism","2016-11-01 20:11:54"
"2022","pablogamboa","2016-09-12 07:41:27","closed","1","untitaker","2016-09-12 08:42:24"
"2021","wgwz","2016-09-11 15:38:18","closed","3","untitaker","2016-09-11 15:53:35"
"2019","mitsuhiko","2016-09-10 00:35:40","closed","3","mitsuhiko","2016-09-12 18:52:42"
"2018","aleksihakli","2016-09-09 13:51:47","closed","1","",""
"2017","rocambolesque","2016-09-09 10:11:30","open","1","",""
"2015","drewja","2016-09-08 17:23:30","closed","1","untitaker","2016-09-08 17:24:07"
"2014","iakbar","2016-09-08 15:15:35","closed","1","untitaker","2016-09-08 15:34:51"
"2013","mitsuhiko","2016-09-08 08:57:41","closed","1","mitsuhiko","2016-09-10 00:36:29"
"2010","infinite-Joy","2016-09-07 05:49:16","closed","2","",""
"2006","untitaker","2016-09-06 12:19:53","closed","1","untitaker","2016-09-06 20:32:34"
"2004","aqueiros","2016-09-05 14:33:09","closed","2","untitaker","2016-09-05 14:57:00"
"2003","r-m-n","2016-09-04 21:05:34","closed","0","davidism","2016-09-04 23:28:05"
"2002","wgwz","2016-09-01 19:00:45","closed","6","untitaker","2016-09-08 13:19:48"
"2001","pheanex","2016-08-31 19:44:20","closed","1","davidism","2016-08-31 20:05:12"
"2000","wgwz","2016-08-31 16:32:29","closed","1","untitaker","2016-08-31 16:37:36"
"1998","jsoref","2016-08-29 18:39:34","closed","6","untitaker","2016-08-29 22:26:20"
"1996","untitaker","2016-08-27 12:33:58","closed","1","untitaker","2016-08-27 16:33:08"
"1993","mitsuhiko","2016-08-25 13:43:42","closed","1","mitsuhiko","2016-09-12 18:54:51"
"1990","sanderl-mediamonks","2016-08-22 09:48:17","closed","1","ThiefMaster","2016-08-22 09:49:52"
"1988","untitaker","2016-08-20 15:38:16","closed","3","untitaker","2016-08-26 01:08:04"
"1987","teichopsia-","2016-08-19 23:39:36","closed","1","davidism","2016-08-20 02:01:13"
"1985","teichopsia-","2016-08-19 22:17:45","closed","1","",""
"1984","untitaker","2016-08-19 19:26:16","open","16","",""
"1981","blancheta","2016-08-11 20:42:22","closed","1","",""
"1977","taion","2016-08-03 20:29:01","closed","1","",""
