"number","created_by","created_at","state","closed_by","closed_at"
"1956","bjlange","2016-12-06 19:59:43","open","",""
"1955","kreczko","2016-12-06 15:13:08","open","",""
"1954","bgrommes","2016-12-06 00:21:03","open","",""
"1953","riga","2016-12-05 14:48:51","closed","Tarrasch","2016-12-07 10:39:22"
"1952","Tarrasch","2016-12-05 04:52:08","closed","Tarrasch","2016-12-08 03:04:27"
"1951","bwtakacy","2016-12-04 12:09:42","closed","Tarrasch","2017-01-05 03:03:48"
"1950","riga","2016-12-03 23:38:53","closed","Tarrasch","2017-01-10 04:56:11"
"1949","jkeung","2016-12-02 21:56:11","open","",""
"1948","jkeung","2016-12-02 21:38:43","open","",""
"1947","jasonamyers","2016-12-02 20:34:40","open","",""
"1946","fabriziodemaria","2016-12-02 17:15:50","closed","bergman","2016-12-07 12:30:34"
"1945","DanCardin","2016-12-02 16:19:56","open","",""
"1944","Marigold","2016-12-02 15:37:10","closed","Tarrasch","2016-12-07 03:26:19"
"1943","rhaarm","2016-12-01 17:30:48","open","",""
"1942","sklarsa","2016-11-30 23:34:37","open","",""
"1941","graingert","2016-11-30 16:34:28","open","",""
"1940","jnthm","2016-11-29 21:30:51","open","",""
"1939","rhaarm","2016-11-28 21:05:13","open","",""
"1938","arita37","2016-11-28 17:52:44","open","",""
"1937","ulzha","2016-11-28 14:55:05","open","",""
"1936","boombard","2016-11-28 09:51:26","open","",""
"1935","alexshires","2016-11-27 22:55:18","open","",""
"1934","alexshires","2016-11-26 15:48:12","open","",""
"1933","alexshires","2016-11-25 14:07:54","open","",""
"1932","bwtakacy","2016-11-24 16:20:44","closed","Tarrasch","2017-01-05 03:03:53"
"1931","Tarrasch","2016-11-24 09:53:17","closed","Tarrasch","2016-11-29 04:12:30"
"1930","mfcabrera","2016-11-22 22:49:27","closed","Tarrasch","2016-11-23 02:38:18"
"1929","mfcabrera","2016-11-22 22:37:19","closed","Tarrasch","2017-02-12 04:53:29"
"1928","Tarrasch","2016-11-22 08:07:40","closed","Tarrasch","2016-11-22 09:25:48"
"1927","daveFNbuck","2016-11-21 21:05:52","closed","Tarrasch","2016-11-22 02:07:40"
"1926","daveFNbuck","2016-11-21 20:27:35","closed","Tarrasch","2016-12-01 02:10:29"
"1925","shaynewang","2016-11-18 03:41:50","open","",""
"1924","shaynewang","2016-11-18 02:14:36","open","",""
"1923","sklarsa","2016-11-17 19:51:07","closed","Tarrasch","2016-11-23 02:22:19"
"1922","Tarrasch","2016-11-17 08:39:14","closed","Tarrasch","2016-11-22 08:20:21"
"1921","andmib","2016-11-16 20:23:23","open","",""
"1920","sshd123","2016-11-16 15:37:35","open","",""
"1919","Tarrasch","2016-11-16 07:10:27","closed","Tarrasch","2016-11-22 08:18:45"
"1918","TKNGUE","2016-11-13 07:15:28","closed","Tarrasch","2016-11-29 03:01:13"
"1917","fabriziodemaria","2016-11-09 11:05:16","closed","ulzha","2016-11-15 08:30:54"
"1916","daveFNbuck","2016-11-07 20:57:46","closed","Tarrasch","2016-11-30 03:45:32"
"1915","Tarrasch","2016-11-07 09:28:20","closed","Tarrasch","2016-11-09 02:07:36"
"1914","horenmar","2016-11-07 08:54:45","open","",""
"1913","Tarrasch","2016-11-07 08:20:13","closed","Tarrasch","2016-11-07 09:28:47"
"1912","dlstadther","2016-11-06 13:30:52","closed","dlstadther","2016-12-19 15:15:31"
"1911","cqnguyen","2016-11-04 11:52:50","closed","cqnguyen","2016-11-05 08:57:49"
"1910","Lucas-C","2016-11-04 11:25:07","closed","Lucas-C","2016-11-08 08:14:59"
"1909","Tarrasch","2016-11-03 08:15:56","closed","Tarrasch","2016-11-09 02:42:26"
